station_name,station_lat,station_long,average_ridership,census_tract,percent_minority,percent_employed,total_pop,total_num_jobs,income_per_cap,percent_poverty,percent_transit,percent_walk,average_pop,average_num_jobs,mean_commute,bus_dist,rail_dist,trolley_dist,high_speed_dist,bus_lat,rail_lat,trolley_lat,high_speed_lat,bus_long,rail_long,trolley_long,high_speed_long,state,county,men,women,hispanic,white,black,native,asian,pacific,citizen,income,income_err,income_per_cap_err,child_poverty,professional,service,office,construction,production,drive,carpool,other_transp,work_at_home,employed,private_work,public_work,self_employed,family_work,unemployment,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05
3008,39.980782,-75.150551,14.72727273,42101037700,0.703,0.30161109,5338,7281,8903,0.455,0.299,0.256,68.43589744,3640.5,25.2,0.113213449,0.116394304,1.137301267,0.666937373,39.980917,39.98147898,39.970568,39.978678,-75.151868,-75.14953179,-75.149853,-75.157881,Pennsylvania,Philadelphia,2298,3040,14.8,29.7,45.9,0.1,8.6,0.4,4211,31000,10509,1925,66.9,31.9,33.2,24.7,0.7,9.5,25.3,11.5,0.4,7.3,1610,86.3,8.1,5.6,0,14.4,7281,1106,4046,2129,1326,964,4991,0,0,949,13,5,0,126,3,6,12,7,12,0,30,5351,260,0,417,90,0,4543,1980,26,585,12,135,6720,561,482,1113,1595,2985,3632,3649,0,0,0,0,0,0,0,0,0,0
3031,39.980049,-75.15522,24.13131313,42101037700,0.703,0.30161109,5338,7281,8903,0.455,0.299,0.256,68.43589744,3640.5,25.2,0.116299559,0.51007652,1.001730884,0.273218569,39.97985,39.98147898,39.971045,39.978678,-75.15388,-75.14953179,-75.155603,-75.157881,Pennsylvania,Philadelphia,2298,3040,14.8,29.7,45.9,0.1,8.6,0.4,4211,31000,10509,1925,66.9,31.9,33.2,24.7,0.7,9.5,25.3,11.5,0.4,7.3,1610,86.3,8.1,5.6,0,14.4,7281,1106,4046,2129,1326,964,4991,0,0,949,13,5,0,126,3,6,12,7,12,0,30,5351,260,0,417,90,0,4543,1980,26,585,12,135,6720,561,482,1113,1595,2985,3632,3649,0,0,0,0,0,0,0,0,0,0
3018,39.952728,-75.15979,72.73737374,42101000500,0.672,0.331174439,2316,28249,22575,0.424,0.184,0.575,24.125,9416.333333,21.8,0.061683106,0.121255019,0.23703175,0.157796351,39.952187,39.9526408,39.952532,39.952103,-75.15995,-75.15837203,-75.162559,-75.161452,Pennsylvania,Philadelphia,1414,902,17.4,32.8,32.5,0,15.5,0,2025,40673,15486,5912,0,67.1,8.5,21.4,0.5,2.5,15.8,1.3,3.7,3.3,767,84.4,11.5,0.7,3.5,13.2,28249,5638,16212,6399,3493,6508,18248,0,0,6,95,55,25,1464,6179,808,2628,145,2548,1771,492,46,5270,343,3023,1787,1564,15458,10821,73,1439,20,438,26288,1961,2452,5978,7229,6952,13941,14308,0,0,0,0,0,0,0,0,0,0
3033,39.95005,-75.156723,48.90909091,42101000500,0.672,0.331174439,2316,28249,22575,0.424,0.184,0.575,24.125,9416.333333,21.8,0.041487357,0.320547589,0.568894532,0.229688239,39.949959,39.9526408,39.952532,39.951716,-75.157195,-75.15837203,-75.162559,-75.158316,Pennsylvania,Philadelphia,1414,902,17.4,32.8,32.5,0,15.5,0,2025,40673,15486,5912,0,67.1,8.5,21.4,0.5,2.5,15.8,1.3,3.7,3.3,767,84.4,11.5,0.7,3.5,13.2,28249,5638,16212,6399,3493,6508,18248,0,0,6,95,55,25,1464,6179,808,2628,145,2548,1771,492,46,5270,343,3023,1787,1564,15458,10821,73,1439,20,438,26288,1961,2452,5978,7229,6952,13941,14308,0,0,0,0,0,0,0,0,0,0
3055,39.951118,-75.154572,42.11111111,42101000500,0.672,0.331174439,2316,28249,22575,0.424,0.184,0.575,24.125,9416.333333,21.8,0.022551484,0.365503918,0.698734194,0.069897547,39.95114,39.9526408,39.952532,39.951149,-75.154309,-75.15837203,-75.162559,-75.153753,Pennsylvania,Philadelphia,1414,902,17.4,32.8,32.5,0,15.5,0,2025,40673,15486,5912,0,67.1,8.5,21.4,0.5,2.5,15.8,1.3,3.7,3.3,767,84.4,11.5,0.7,3.5,13.2,28249,5638,16212,6399,3493,6508,18248,0,0,6,95,55,25,1464,6179,808,2628,145,2548,1771,492,46,5270,343,3023,1787,1564,15458,10821,73,1439,20,438,26288,1961,2452,5978,7229,6952,13941,14308,0,0,0,0,0,0,0,0,0,0
3023,39.950481,-75.172859,104.4545455,42101000700,0.439,0.573896945,3241,14201,64902,0.229,0.349,0.33,31.7745098,4733.666667,26.4,0.062204367,0.602654518,0.325814701,0.688869163,39.950758,39.95399019,39.953268,39.952581,-75.172225,-75.16747097,-75.171679,-75.165256,Pennsylvania,Philadelphia,1708,1533,8.5,56.1,11,0,22.6,0,2514,51842,5137,15159,18.9,79.2,6.6,8.1,1,5.1,22.5,0,4.6,5,1860,85.5,10.4,4.1,0,6.1,14201,4681,7169,2351,3696,4330,6175,0,0,0,260,50,59,2322,0,272,370,373,2131,1047,583,469,864,290,3334,945,832,9382,3638,35,858,6,282,13199,1002,1126,2356,2894,3144,6705,7496,0,0,0,0,0,0,0,0,0,0
3168,39.95121,-75.173698,65.61616162,42101000700,0.439,0.573896945,3241,14201,64902,0.229,0.349,0.33,31.7745098,4733.666667,26.4,0.070875213,0.614251851,0.286331079,0.735569055,39.950574,39.95399019,39.953268,39.952581,-75.173643,-75.16747097,-75.171679,-75.165256,Pennsylvania,Philadelphia,1708,1533,8.5,56.1,11,0,22.6,0,2514,51842,5137,15159,18.9,79.2,6.6,8.1,1,5.1,22.5,0,4.6,5,1860,85.5,10.4,4.1,0,6.1,14201,4681,7169,2351,3696,4330,6175,0,0,0,260,50,59,2322,0,272,370,373,2131,1047,583,469,864,290,3334,945,832,9382,3638,35,858,6,282,13199,1002,1126,2356,2894,3144,6705,7496,0,0,0,0,0,0,0,0,0,0
3062,39.951969,-75.179428,30.48484848,42101000700,0.439,0.573896945,3241,14201,64902,0.229,0.349,0.33,31.7745098,4733.666667,26.4,0.073253615,0.544747483,0.312158176,0.457536657,39.951326,39.95651628,39.953917,39.954837,-75.179615,-75.18180596,-75.176791,-75.183277,Pennsylvania,Philadelphia,1708,1533,8.5,56.1,11,0,22.6,0,2514,51842,5137,15159,18.9,79.2,6.6,8.1,1,5.1,22.5,0,4.6,5,1860,85.5,10.4,4.1,0,6.1,14201,4681,7169,2351,3696,4330,6175,0,0,0,260,50,59,2322,0,272,370,373,2131,1047,583,469,864,290,3334,945,832,9382,3638,35,858,6,282,13199,1002,1126,2356,2894,3144,6705,7496,0,0,0,0,0,0,0,0,0,0
3028,39.940609,-75.149582,71.13131313,42101001600,0.118,0.743678731,2017,1155,60819,0.067,0.263,0.173,54.51351351,1155,27.2,0.034196465,1.533425321,1.726693654,1.107338528,39.940892,39.9526408,39.952532,39.950554,-75.149425,-75.15837203,-75.162559,-75.148905,Pennsylvania,Philadelphia,1084,933,4.8,88.2,0.9,0,2.5,0,1736,73879,9014,7125,0,75.5,9.5,13.5,0.7,0.9,34.2,5.9,8.6,7.6,1500,83.5,9.5,7,0,4.2,1155,401,587,167,447,456,252,0,0,0,4,5,5,199,9,9,18,22,88,0,25,98,71,81,418,103,0,798,232,3,91,1,30,1059,96,104,190,247,213,545,610,0,0,0,0,0,0,0,0,0,0
3110,39.96175,-75.136414,19.80808081,42101036600,0.318,0.685591859,1867,2241,75764,0.05,0.181,0.078,28.28787879,747,24.5,0.01099242,2.128075766,0.38139663,0.367976519,39.961666,39.9526408,39.964858,39.960495,-75.136482,-75.15837203,-75.134521,-75.140409,Pennsylvania,Philadelphia,965,902,2.7,68.2,7.9,1.7,15.4,0,1619,101984,22879,12299,12.4,59.4,4.7,29.9,1.8,4.2,47.5,8.9,4,13.6,1280,85,7.3,7.7,0,6.5,2241,667,1217,357,664,829,748,0,0,41,58,0,36,133,204,175,90,94,77,0,173,8,252,69,586,245,0,1233,820,12,126,5,45,2073,168,220,444,517,393,1286,955,0,0,0,0,0,0,0,0,0,0
